"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C7","4","0.1uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C3,C5,C6,C8","4","100uf","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"D1,D2,D3,D4,D9,D12,D13,D14","8","D","","","","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"D10,D15","2","LED","","","","LED_THT:LED_D4.0mm","~"
"J1","1","Jack-DC","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"J2","1","B1","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","1","B2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1,Q3","2","BD140","","","","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf"
"R1,R2,R17,R18","4","20k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R19","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","1","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","1","820R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11,R20","2","330R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R14","1","2R 1W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"RV1","1","R_Potentiometer1_US","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"RV2","1","R_Potentiometer_US","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1,U2","2","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U3,U5","2","TL432DBZ","","","","TL431CLP:VREG_TL431CLP","http://www.ti.com/lit/ds/symlink/tl431.pdf"
